Team,SPI,SPI_weight,League,Player,NationAbbrev,Age,Minutes
Arsenal,76.59,1.0957529503215322,PremierLeague,Ben White,ENG,24,1170
Arsenal,76.59,1.0957529503215322,PremierLeague,Emile Smith-Rowe,ENG,21,1139
Arsenal,76.59,1.0957529503215322,PremierLeague,Bukayo Saka,ENG,20,1064
Arsenal,76.59,1.0957529503215322,PremierLeague,Gabriel Dos Santos,BRA,23,1080
Arsenal,76.59,1.0957529503215322,PremierLeague,Aaron Ramsdale,ENG,23,1080
Arsenal,76.59,1.0957529503215322,PremierLeague,Takehiro Tomiyasu,JPN,23,1051
Arsenal,76.59,1.0957529503215322,PremierLeague,Pierre-Emerick Aubameyang,GAB,32,1037
Arsenal,76.59,1.0957529503215322,PremierLeague,Thomas Partey,GHA,28,890
Arsenal,76.59,1.0957529503215322,PremierLeague,Martin Ødegaard,NOR,22,828
Arsenal,76.59,1.0957529503215322,PremierLeague,Albert Sambi Lokonga,BEL,22,809
Arsenal,76.59,1.0957529503215322,PremierLeague,Kieran Tierney,SCO,24,746
Arsenal,76.59,1.0957529503215322,PremierLeague,Nuno Tavares,POR,21,617
Arsenal,76.59,1.0957529503215322,PremierLeague,Nicolas Pépé,CIV,26,484
Arsenal,76.59,1.0957529503215322,PremierLeague,Alexandre Lacazette,FRA,30,444
Arsenal,76.59,1.0957529503215322,PremierLeague,Granit Xhaka,SUI,29,385
Arsenal,76.59,1.0957529503215322,PremierLeague,Martinelli,BRA,20,347
Arsenal,76.59,1.0957529503215322,PremierLeague,Bernd Leno,GER,29,270
Arsenal,76.59,1.0957529503215322,PremierLeague,Ainsley Maitland-Niles,ENG,24,268
Arsenal,76.59,1.0957529503215322,PremierLeague,Cédric Soares,POR,30,189
Arsenal,76.59,1.0957529503215322,PremierLeague,Rob Holding,ENG,26,180
Arsenal,76.59,1.0957529503215322,PremierLeague,Pablo Marí,ESP,28,180
Arsenal,76.59,1.0957529503215322,PremierLeague,Calum Chambers,ENG,26,170
Arsenal,76.59,1.0957529503215322,PremierLeague,Mohamed Elneny,EGY,29,153
Arsenal,76.59,1.0957529503215322,PremierLeague,Sead Kolašinac,BIH,28,91
Arsenal,76.59,1.0957529503215322,PremierLeague,Folarin Balogun,ENG,20,70
Arsenal,76.59,1.0957529503215322,PremierLeague,Eddie Nketiah,ENG,22,32
Arsenal,76.59,1.0957529503215322,PremierLeague,Reiss Nelson,ENG,21,20
Arsenal,76.59,1.0957529503215322,PremierLeague,Héctor Bellerín,ESP,26,0
Arsenal,76.59,1.0957529503215322,PremierLeague,Karl Jakob Hein,EST,19,0
Arsenal,76.59,1.0957529503215322,PremierLeague,Arthur Okonkwo,ENG,20,0
Aston Villa,72.41,1.0366758532965867,PremierLeague,Matty Cash,POL,24,1333
Aston Villa,72.41,1.0366758532965867,PremierLeague,Emiliano Martínez,ARG,29,1260
Aston Villa,72.41,1.0366758532965867,PremierLeague,Ezri Konsa,ENG,24,1217
Aston Villa,72.41,1.0366758532965867,PremierLeague,John McGinn,SCO,27,1209
Aston Villa,72.41,1.0366758532965867,PremierLeague,Tyrone Mings,ENG,28,1209
Aston Villa,72.41,1.0366758532965867,PremierLeague,Matt Targett,ENG,26,1071
Aston Villa,72.41,1.0366758532965867,PremierLeague,Ollie Watkins,ENG,25,1092
Aston Villa,72.41,1.0366758532965867,PremierLeague,Douglas Luiz,BRA,23,872
Aston Villa,72.41,1.0366758532965867,PremierLeague,Danny Ings,ENG,29,823
Aston Villa,72.41,1.0366758532965867,PremierLeague,Emi Buendía,ARG,24,788
Aston Villa,72.41,1.0366758532965867,PremierLeague,Jacob Ramsey,ENG,20,747
Aston Villa,72.41,1.0366758532965867,PremierLeague,Marvelous Nakamba,ZIM,27,702
Aston Villa,72.41,1.0366758532965867,PremierLeague,Axel Tuanzebe,ENG,24,505
Aston Villa,72.41,1.0366758532965867,PremierLeague,Ashley Young,ENG,36,606
Aston Villa,72.41,1.0366758532965867,PremierLeague,Leon Bailey,JAM,24,424
Aston Villa,72.41,1.0366758532965867,PremierLeague,Anwar El Ghazi,NED,26,371
Aston Villa,72.41,1.0366758532965867,PremierLeague,Kortney Hause,ENG,26,261
Aston Villa,72.41,1.0366758532965867,PremierLeague,Carney Chukwuemeka,ENG,17,99
Aston Villa,72.41,1.0366758532965867,PremierLeague,Jed Steer,ENG,29,90
Aston Villa,72.41,1.0366758532965867,PremierLeague,Bertrand Traoré,BFA,26,57
Aston Villa,72.41,1.0366758532965867,PremierLeague,Morgan Sanson,FRA,27,28
Aston Villa,72.41,1.0366758532965867,PremierLeague,Cameron Archer,ENG,20,27
Aston Villa,72.41,1.0366758532965867,PremierLeague,Keinan Davis,ENG,23,12
Aston Villa,72.41,1.0366758532965867,PremierLeague,Jaden Philogene Bidace,ENG,19,5
Aston Villa,72.41,1.0366758532965867,PremierLeague,Wesley Moraes,BRA,25,1
Aston Villa,72.41,1.0366758532965867,PremierLeague,Lamare Bogarde,NED,17,0
Aston Villa,72.41,1.0366758532965867,PremierLeague,Frederic Guilbert,FRA,26,0
Aston Villa,72.41,1.0366758532965867,PremierLeague,Conor Hourihane,IRL,30,0
Aston Villa,72.41,1.0366758532965867,PremierLeague,Tim Iroegbunam,,,0
Aston Villa,72.41,1.0366758532965867,PremierLeague,Aaron Ramsey,ENG,18,0
Aston Villa,72.41,1.0366758532965867,PremierLeague,Viljami Sinisalo,FIN,20,0
Brentford,67.05,0.9609214896473748,PremierLeague,Pontus Jansson,SWE,30,1341
Brentford,67.05,0.9609214896473748,PremierLeague,Christian Nørgaard,DEN,27,1316
Brentford,67.05,0.9609214896473748,PremierLeague,Rico Henry,ENG,24,1298
Brentford,67.05,0.9609214896473748,PremierLeague,Ethan Pinnock,JAM,28,1257
