League,Five38,FBRef,FBRef_URL
MLS,Atlanta United FC,Atlanta Utd,https://fbref.com/en/squads/1ebc1a5b/Atlanta-United-Stats
MLS,Austin FC,Austin FC,https://fbref.com/en/squads/b918956d/Austin-FC-Stats
MLS,Montreal Impact,CF Montréal,https://fbref.com/en/squads/fc22273c/CF-Montreal-Stats
MLS,Chicago Fire,Chicago Fire,https://fbref.com/en/squads/f9940243/Chicago-Fire-Stats
MLS,Colorado Rapids,Colorado Rapids,https://fbref.com/en/squads/415b4465/Colorado-Rapids-Stats
MLS,Columbus Crew,Columbus Crew,https://fbref.com/en/squads/529ba333/Columbus-Crew-Stats
MLS,DC United,D.C. United,https://fbref.com/en/squads/44117292/DC-United-Stats
MLS,FC Cincinnati,FC Cincinnati,https://fbref.com/en/squads/e9ea41b2/FC-Cincinnati-Stats
MLS,FC Dallas,FC Dallas,https://fbref.com/en/squads/15cf8f40/FC-Dallas-Stats
MLS,Houston Dynamo,Houston Dynamo,https://fbref.com/en/squads/0d885416/Houston-Dynamo-Stats
MLS,Inter Miami CF,Inter Miami,https://fbref.com/en/squads/cb8b86a2/Inter-Miami-Stats
MLS,Los Angeles Galaxy,LA Galaxy,https://fbref.com/en/squads/d8b46897/LA-Galaxy-Stats
MLS,Los Angeles FC,Los Angeles FC,https://fbref.com/en/squads/81d817a3/Los-Angeles-FC-Stats
MLS,Minnesota United FC,Minnesota Utd,https://fbref.com/en/squads/99ea75a6/Minnesota-United-Stats
MLS,Nashville SC,Nashville,https://fbref.com/en/squads/35f1b818/Nashville-SC-Stats
MLS,New England Revolution,New England,https://fbref.com/en/squads/3c079def/New-England-Revolution-Stats
MLS,New York Red Bulls,NY Red Bulls,https://fbref.com/en/squads/69a0fb10/New-York-Red-Bulls-Stats
MLS,New York City FC,NYCFC,https://fbref.com/en/squads/64e81410/New-York-City-FC-Stats
MLS,Orlando City SC,Orlando City,https://fbref.com/en/squads/46ef01d0/Orlando-City-Stats
MLS,Philadelphia Union,Philadelphia,https://fbref.com/en/squads/46024eeb/Philadelphia-Union-Stats
MLS,Portland Timbers,Portland Timbers,https://fbref.com/en/squads/d076914e/Portland-Timbers-Stats
MLS,Real Salt Lake,Real Salt Lake,https://fbref.com/en/squads/f7d86a43/Real-Salt-Lake-Stats
MLS,San Jose Earthquakes,San Jose,https://fbref.com/en/squads/ca460650/San-Jose-Earthquakes-Stats
MLS,Seattle Sounders FC,Seattle,https://fbref.com/en/squads/6218ebd4/Seattle-Sounders-FC-Stats
MLS,Sporting Kansas City,Sporting KC,https://fbref.com/en/squads/4acb0537/Sporting-KC-Stats
MLS,Toronto FC,Toronto FC,https://fbref.com/en/squads/130f43fa/Toronto-FC-Stats
MLS,Vancouver Whitecaps,Vancouver,https://fbref.com/en/squads/ab41cb90/Vancouver-Whitecaps-FC-Stats
PremierLeague,Arsenal,Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
PremierLeague,Aston Villa,Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
PremierLeague,Brentford,Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats
PremierLeague,Brighton and Hove Albion,Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
PremierLeague,Burnley,Burnley,https://fbref.com/en/squads/943e8050/Burnley-Stats
PremierLeague,Chelsea,Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
PremierLeague,Crystal Palace,Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
PremierLeague,Everton,Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
PremierLeague,Leeds United,Leeds United,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
PremierLeague,Leicester City,Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats
PremierLeague,Liverpool,Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
PremierLeague,Manchester City,Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
PremierLeague,Manchester United,Manchester Utd,https://fbref.com/en/squads/19538871/Manchester-United-Stats
PremierLeague,Newcastle,Newcastle Utd,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
